name,time,mean_Bytes,mean_Data,mean_GoodPut,mean_Interest,mean_Throughput,mean_Time
sandie-sc19,2019-11-19T11:30:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:31:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:31:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:31:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:31:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:31:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:31:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:32:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:32:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:32:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:32:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:32:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:32:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:33:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:33:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:33:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:33:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:33:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:33:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:34:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:34:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:34:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:34:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:34:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:34:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:35:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:35:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:35:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:35:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:35:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:35:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:36:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:36:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:36:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:36:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:36:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:36:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:37:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:37:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:37:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:37:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:37:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:37:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:38:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:38:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:38:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:38:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:38:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:38:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:39:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:39:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:39:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:39:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:39:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:39:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:40:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:40:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:40:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:40:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:40:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:40:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:41:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:41:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:41:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:41:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:41:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:41:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:42:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:42:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:42:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:42:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:42:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:42:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:43:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:43:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:43:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:43:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:43:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:43:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:44:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:44:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:44:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:44:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:44:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:44:50Z,0,0,0,0,0,0
